ID,DDT_R2,DDT_logK
DNS0744,75.84414366,-2.035532873
DNS0745,91.16738855,-3.120391127
DNS0746,92.15859172,-2.97193545
DNS0747,74.7125257,-3.701389156
DNS0748,55.11833894,-3.953472841
DNS0749,85.06466123,-1.48741307
DNS0750,92.31769729,-2.703937856
DNS0752,75.57249684,-3.321603193
DNS0753,80.22429314,-2.6064808
DNS0754,94.19687407,-3.327418111
DNS0755,91.07358475,-0.961755909
DNS0756,97.16231136,-2.643037991
DNS0757,78.82891977,-2.852080131
DNS0758,97.56899444,-1.602420117
DNS0759,85.76004723,-2.875426973
DNS0760,89.14430795,-1.519093765
DNS0761,90.62151552,-2.748839577
DNS0762,69.88013978,-3.663446257
DNS0763,81.27124636,-2.175961786
DNS0764,94.87624957,-2.293449399
DNS0765,27.47580055,-4.441374809
DNS0766,96.01112219,-2.270429874
DNS0767,74.02057612,-2.8382044
DNS0768,76.98874284,-3.234947004
DNS0770,82.15055091,-3.445084926
DNS0771,67.16228514,-2.521556376
DNS0772,85.83572958,-3.480236154
DNS0773,92.68225129,-3.101094337
DNS0774,64.84781918,-3.687979713
DNS0775,84.00916926,-2.403889511
DNS0776,97.0820366,-2.206245125
DNS0777,90.80877945,-3.040608705
DNS0778,93.40639629,-2.316585374
DNS0779,98.73564339,-0.899557213
DNS0780,91.85533791,-3.939911819
DNS0781,99.2029303,-1.895531942
DNS0783,87.24496097,-2.766135634
DNS0784,93.80613997,-3.649028245
DNS0785,97.60443876,-2.482273666
DNS0786,91.88389292,-3.011472826
DNS0787,92.87911751,-1.691341763
DNS0788,71.73705153,-3.0280335
DNS0789,88.09965519,-3.032523007
DNS0790,84.63137052,-3.038108337
DNS0792,88.51180428,-1.102068362
DNS0793,50,-4.729691798
DNS0794,89.82974548,-2.677751798
DNS0795,90.89801016,-0.775892415
DNS0796,89.19500327,-1.354928036
DNS0797,86.54515645,-2.387791151
DNS0798,62.67804243,-1.904213065
DNS0800,86.91706463,-2.345308716
DNS0802,70.06440886,-3.69197805
DNS0803,98.19437547,-2.180227599
DNS0804,93.41721339,-3.411535469
DNS0805,93.09009832,-0.934160311
DNS0806,89.58856883,-1.646310164
DNS0807,75.74470367,-2.93669218
DNS0808,95.34564526,-1.915892059
DNS0809,90.60599986,-3.903031628
DNS0810,69.74096266,-3.502942787
DNS0811,88.3834177,-1.168119161
DNS0812,93.87919019,-1.707170801
DNS0813,89.51752268,-1.788417091
DNS0815,70.80194672,-3.380131049
DNS0816,91.85533781,-3.939911823
DNS0818,90.49047402,-2.159025633
DNS0819,72.71326309,-2.241296783
DNS0820,91.21060587,-2.257851011
DNS0821,96.88835428,-0.808898921
DNS0822,99.27188655,-1.246246903
DNS0823,70.06440893,-3.691978048
DNS0824,97.31003156,-1.126236977
DNS0825,88.60916274,-2.100144302
DNS0826,56.11217586,-3.270956832
DNS0827,93.49381534,-1.521328568
DNS0828,90.29049154,-1.188373688
DNS0829,95.98545736,-2.249724095
DNS0830,90.73533098,-3.469335765
DNS0831,97.47734232,-0.884010506
DNS0832,86.45559123,-4.097306764
DNS0833,52.56355682,-2.660236108
DNS0834,99.4633823,-0.473673392
DNS0835,98.03362801,-3.26492644
DNS0836,48.2181944,-4.175041795
DNS0837,99.16498607,-0.83067179
DNS0838,96.94675359,-1.700083708
DNS0839,96.88778214,-1.916424515
DNS0840,79.0268885,-3.738465855
DNS0841,94.35900715,-1.927451204
DNS0842,91.28487083,-1.743608408
DNS0843,67.61698811,-3.819172557
DNS0844,92.25793419,-2.083704167
DNS0845,47.43254371,-0.069787246
DNS0846,90.18517615,-1.074238496
DNS0847,90.60599975,-3.903031633
DNS0848,50,1.517466444
DNS0849,56.48058405,-3.995018491
DNS0850,54.784292,-2.470055447
DNS0851,.,.
DNS0852,89.40740335,-2.141258184
DNS0853,92.35693924,-3.018141484
